tweet_id,retweet_count,favorite_count,media1,media2,media3,media4
892420643555336193,8627,38925,photo,,,
892177421306343426,6337,33333,photo,,,
891815181378084864,4207,25114,photo,,,
891689557279858688,8751,42276,photo,,,
891327558926688256,9509,40432,photo,photo,,
891087950875897856,3149,20280,photo,,,
890971913173991426,2098,11892,photo,,,
890729181411237888,19122,65772,photo,photo,,
890609185150312448,4316,27853,photo,,,
890240255349198849,7504,32037,photo,,,
890006608113172480,7426,30759,photo,photo,,
889880896479866881,5024,27875,photo,,,
889665388333682689,10179,48247,photo,,,
889638837579907072,4594,27263,photo,photo,,
889531135344209921,2261,15134,photo,,,
889278841981685760,5494,25390,video,,,
888917238123831296,4553,29180,photo,,,
888804989199671297,4395,25682,photo,photo,,
888554962724278272,3623,19989,photo,photo,photo,photo
888078434458587136,3537,21838,photo,photo,,
887705289381826560,5454,30298,photo,,,
887517139158093824,11797,46391,video,,,
887473957103951883,18439,69338,photo,photo,,
887343217045368832,10521,33797,video,,,
887101392804085760,6032,30649,photo,,,
886983233522544640,7851,35277,photo,photo,,
886736880519319552,3337,12106,photo,photo,,
886680336477933568,4521,22497,photo,,,
886366144734445568,3221,21190,photo,photo,,
886267009285017600,4,116,,,,
886258384151887873,6369,28049,photo,,,
886054160059072513,105,0,,,,
885984800019947520,6891,32817,photo,,,
885528943205470208,6518,36125,photo,,,
885518971528720385,3805,20493,,,,
885311592912609280,18787,0,photo,photo,,
885167619883638784,4432,22013,photo,photo,photo,photo
884925521741709313,18666,77761,photo,,,
884876753390489601,5863,28028,photo,photo,photo,photo
884562892145688576,4938,24382,photo,,,
884441805382717440,5722,27087,photo,,,
884247878851493888,20671,73253,,,,
884162670584377345,3028,20451,photo,,,
883838122936631299,3490,21979,photo,,,
883482846933004288,10085,46107,photo,photo,,
883360690899218434,3731,22629,photo,,,
883117836046086144,6754,37349,photo,photo,,
882992080364220416,3982,24028,photo,photo,,
882762694511734784,4988,28405,photo,,,
882627270321602560,6171,27966,photo,,,
882268110199369728,11756,45127,photo,photo,photo,
882045870035918850,5050,29468,photo,photo,photo,photo
