Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
ABQ,31.0,1.0,2.0,3236.0,274.0,1516.0,0.0,4150.0,1614,2016,9,1104.0,459.0,34.0,9.0,4.0,,1.0
AUS,6482.0,7.0,7.0,10132.0,880.0,4566.0,10.0,13889.0,3844,2016,9,2506.0,1163.0,115.0,32.0,11.0,1.0,2.0
BNA,345.0,4.0,5.0,10711.0,1010.0,4578.0,18.0,11910.0,4421,2016,9,3102.0,1170.0,97.0,28.0,10.0,2.0,3.0
BOS,76853.0,59.0,5.0,25913.0,6194.0,66708.0,267.0,38380.0,10083,2016,9,5874.0,3327.0,614.0,151.0,40.0,8.0,5.0
BWI,-8659.0,15.0,5.0,14629.0,1808.0,9760.0,180.0,21379.0,7835,2016,9,5716.0,1859.0,164.0,60.0,10.0,,6.0
CLT,-1267.0,46.0,13.0,21324.0,3762.0,17664.0,219.0,24363.0,9181,2016,9,6338.0,2451.0,209.0,77.0,26.0,9.0,12.0
DCA,14809.0,38.0,16.0,17107.0,4572.0,16808.0,23.0,19907.0,6396,2016,9,4183.0,1846.0,226.0,64.0,10.0,7.0,6.0
DEN,-29928.0,34.0,26.0,41752.0,4311.0,37323.0,16.0,59991.0,19265,2016,9,14131.0,4371.0,450.0,143.0,50.0,21.0,39.0
DFW,19301.0,38.0,47.0,48912.0,5805.0,37358.0,17.0,60368.0,16086,2016,9,11100.0,4160.0,460.0,167.0,42.0,22.0,50.0
DTW,-37689.0,12.0,11.0,33139.0,2370.0,12158.0,18.0,24605.0,10247,2016,9,8031.0,1864.0,192.0,69.0,24.0,12.0,32.0
EWR,61778.0,94.0,14.0,30265.0,4554.0,54060.0,20.0,42949.0,9724,2016,9,6102.0,2795.0,470.0,145.0,53.0,23.0,28.0
HNL,542.0,8.0,3.0,11280.0,237.0,2837.0,68.0,6255.0,3726,2016,9,2428.0,1217.0,33.0,18.0,6.0,7.0,6.0
IAH,-37799.0,43.0,31.0,29360.0,2162.0,21782.0,23.0,26227.0,10775,2016,9,8309.0,1994.0,239.0,89.0,29.0,16.0,25.0
IND,2816.0,4.0,1.0,6936.0,415.0,3097.0,0.0,7107.0,2007,2016,9,1409.0,495.0,70.0,19.0,6.0,1.0,2.0
JFK,13053.0,17.0,23.0,24398.0,3493.0,23898.0,431.0,30356.0,7663,2016,9,5160.0,2021.0,293.0,90.0,37.0,11.0,11.0
KOA,-1297.0,0.0,1.0,1644.0,0.0,267.0,0.0,1235.0,880,2016,9,599.0,267.0,8.0,3.0,2.0,,
LAS,14759.0,31.0,19.0,25395.0,4657.0,28346.0,126.0,34862.0,12581,2016,9,8442.0,3607.0,349.0,92.0,27.0,10.0,4.0
LAX,61874.0,74.0,13.0,47364.0,6084.0,58873.0,166.0,55310.0,17528,2016,9,10336.0,6339.0,526.0,162.0,39.0,18.0,21.0
LGA,54736.0,52.0,17.0,28813.0,5320.0,49563.0,15.0,27590.0,8153,2016,9,5089.0,2370.0,432.0,128.0,36.0,13.0,16.0
LIH,-1106.0,0.0,0.0,2063.0,0.0,341.0,0.0,1148.0,854,2016,9,590.0,247.0,10.0,4.0,2.0,,1.0
MCI,-1005.0,5.0,4.0,7021.0,717.0,3515.0,0.0,10738.0,3530,2016,9,2498.0,913.0,81.0,23.0,3.0,,3.0
