LocationID,longitude_,latitude_d,Airport
ADK,-176.64248657,51.88358307,"Alaska, AK: Adak"
ANC,-149.9981842,61.17415619,"Alaska, AK: Ted Stevens Anchorage Intl"
BRW,-156.76858521,71.2848587,"Alaska, AK: Wiley Post-Will Rogers Memorial"
BET,-161.83717346,60.77855682,"Alaska, AK: Bethel"
BHM,-86.75230408,33.56388855,"Alabama, AL: Birmingham-Shuttlesworth Intl"
COS,-104.70077515,38.80580521,"Colorado, CO: City Of Colorado Springs Muni"
SUN,-114.29555511,43.50378036,"Idaho, ID: Friedman Memorial"
CDV,-145.47755432,60.49177933,"Alaska, AK: Merle K (Mudhole) Smith"
SCC,-148.46578979,70.19554901,"Alaska, AK: Deadhorse"
DLG,-158.50549316,59.04466629,"Alaska, AK: Dillingham"
FAI,-147.85644531,64.81510925,"Alaska, AK: Fairbanks Intl"
GST,-135.70741272,58.42527771,"Alaska, AK: Gustavus"
JNU,-134.57847595,58.35471344,"Alaska, AK: Juneau Intl"
KTN,-131.71122742,55.35408401,"Alaska, AK: Ketchikan Intl"
AKN,-156.6486969,58.6764946,"Alaska, AK: King Salmon"
ADQ,-152.49378967,57.74996567,"Alaska, AK: Kodiak"
OTZ,-162.59814453,66.88480377,"Alaska, AK: Ralph Wien Memorial"
OME,-165.44436646,64.51255035,"Alaska, AK: Nome"
PSG,-132.94622803,56.80147171,"Alaska, AK: Petersburg James A Johnson"
SIT,-135.36106873,57.04683304,"Alaska, AK: Sitka Rocky Gutierrez"
WRG,-132.36982727,56.48433304,"Alaska, AK: Wrangell"
YAK,-139.66026306,59.503322600000004,"Alaska, AK: Yakutat"
DHN,-85.44947052,31.32102776,"Alabama, AL: Dothan Rgnl"
HSV,-86.77505493,34.63719559,"Alabama, AL: Huntsville Intl-Carl T Jones Field"
MOB,-88.242836,30.69141579,"Alabama, AL: Mobile Rgnl"
MGM,-86.3939743,32.30064011,"Alabama, AL: Montgomery Rgnl (Dannelly Field)"
XNA,-94.30776215,36.28157806,"Arkansas, AR: Northwest Arkansas Rgnl"
FSM,-94.3674469,35.33658218,"Arkansas, AR: Fort Smith Rgnl"
LIT,-92.22477722,34.729442600000006,"Arkansas, AR: Bill And Hillary Clinton National/Adams Field"
TXK,-93.99102783,33.45372391,"Arkansas, AR: Texarkana Rgnl-Webb Field"
PPG,-170.71150208,-14.33166027,"American Samoa, AS: Pago Pago Intl"
IFP,-114.5593338,35.15460968,"Arizona, AZ: Laughlin/Bullhead Intl"
FLG,-111.66925049,35.14030457,"Arizona, AZ: Flagstaff Pulliam"
PHX,-112.01158142,33.43427658,"Arizona, AZ: Phoenix Sky Harbor Intl"
TUS,-110.94102478,32.11608505,"Arizona, AZ: Tucson Intl"
ACV,-124.10847473,40.97783279,"California, CA: Arcata"
BFL,-119.05766296,35.43386078,"California, CA: Meadows Field"
BUR,-118.35866547,34.20069504,"California, CA: Bob Hope"
CIC,-121.85841370000001,39.79538727,"California, CA: Chico Muni"
CEC,-124.23652649,41.78016663,"California, CA: Jack Mc Namara Field"
FAT,-119.71883392,36.77655411,"California, CA: Fresno Yosemite Intl"
IPL,-115.57875061,32.83422089,"California, CA: Imperial County"
IYK,-117.82952881,35.658741,"California, CA: Inyokern"
LGB,-118.151474,33.81763839999999,"California, CA: Long Beach /Daugherty Field/"
LAX,-118.4078064,33.94262314,"California, CA: Los Angeles Intl"
MMH,-118.83875275,37.62405396,"California, CA: Mammoth Yosemite"
MOD,-120.95441437,37.6258316,"California, CA: Modesto City-Co-Harry Sham Fld"
MRY,-121.84278107,36.58695221,"California, CA: Monterey Rgnl"
OAK,-122.22165679999999,37.71868896,"California, CA: Metropolitan Oakland Intl"
ONT,-117.60119629,34.05599976,"California, CA: Ontario Intl"
PSP,-116.50669098,33.82966614,"California, CA: Palm Springs Intl"
RDD,-122.29338837,40.50897217,"California, CA: Redding Muni"
SMF,-121.59077454,38.69544601,"California, CA: Sacramento Intl"
SAN,-117.18966675,32.73355484,"California, CA: San Diego Intl"
SFO,-122.37541962,37.61880493,"California, CA: San Francisco Intl"
SJC,-121.92861938,37.36299133,"California, CA: Norman Y Mineta San Jose Intl"
SBP,-120.64260864,35.23727798,"California, CA: San Luis County Rgnl"
SNA,-117.86822509999999,33.67566681,"California, CA: John Wayne Airport-Orange County"
SBA,-119.84149170000002,34.42619324,"California, CA: Santa Barbara Muni"
SMX,-120.45807648,34.89993286,"California, CA: Santa Maria Pub/Capt G Allan Hancock Fld"
STS,-122.81288909999998,38.50969315,"California, CA: Charles M Schulz - Sonoma County"
ASE,-106.86823273,39.22187805,"Colorado, CO: Aspen-Pitkin Co/Sardy Field"
DEN,-104.67316437,39.86166763,"Colorado, CO: Denver Intl"
DRO,-107.75377655,37.1515274,"Colorado, CO: Durango-La Plata County"
EGE,-106.91594696,39.64274979,"Colorado, CO: Eagle County Rgnl"
FNL,-105.01133728,40.451828000000006,"Colorado, CO: Fort Collins-Loveland Muni"
GJT,-108.5267334,39.12241364,"Colorado, CO: Grand Junction Regional"
GUC,-106.93174744,38.53433228,"Colorado, CO: Gunnison-Crested Butte Rgnl"
HDN,-107.21766663,40.48119354,"Colorado, CO: Yampa Valley"
MTJ,-107.89424896,38.50980377,"Colorado, CO: Montrose Rgnl"
PUB,-104.49802399,38.2899437,"Colorado, CO: Pueblo Memorial"
BDL,-72.6833725,41.93914413,"Connecticut, CT: Bradley Intl"
DCA,-77.03771973,38.85144424,"Dist. Of Columbia, DC: Ronald Reagan Washington National"
IAD,-77.45994568,38.94744492,"Dist. Of Columbia, DC: Washington Dulles Intl"
ILG,-75.60663605,39.67872238,"Delaware, DE: New Castle"
DAB,-81.05805206,29.17991638,"Florida, FL: Daytona Beach Intl"
FLL,-80.14969635,26.07166672,"Florida, FL: Fort Lauderdale/Hollywood Intl"
RSW,-81.7551651,26.53616714,"Florida, FL: Southwest Florida Intl"
GNV,-82.27177429,29.69005585,"Florida, FL: Gainesville Rgnl"
JAX,-81.68783569,30.49405479,"Florida, FL: Jacksonville Intl"
EYW,-81.759552,24.55611038,"Florida, FL: Key West Intl"
MLB,-80.64524841,28.10275078,"Florida, FL: Melbourne Intl"
MIA,-80.29010773,25.79536057,"Florida, FL: Miami Intl"
MCO,-81.30899811,28.42938805,"Florida, FL: Orlando Intl"
ECP,-85.79560852,30.35824966,"Florida, FL: Northwest Florida Beaches Intl"
PNS,-87.18661499,30.47342491,"Florida, FL: Pensacola Intl"
PGD,-81.99092865,26.91893768,"Florida, FL: Punta Gorda"
SRQ,-82.55438995,27.39544487,"Florida, FL: Sarasota/Bradenton Intl"
TLH,-84.35086059999999,30.3967495,"Florida, FL: Tallahassee Intl"
TPA,-82.5332489,27.9754715,"Florida, FL: Tampa Intl"
VPS,-86.52604675,30.48321915,"Florida, FL: Eglin Afb/Destin-Ft Walton Beach"
PBI,-80.09558105,26.6831665,"Florida, FL: Palm Beach Intl"
ABY,-84.19447327,31.53552818,"Georgia, GA: Southwest Georgia Rgnl"
ATL,-84.42786407,33.63669968,"Georgia, GA: Hartsfield - Jackson Atlanta Intl"
AGS,-81.96450043,33.36994553,"Georgia, GA: Augusta Rgnl At Bush Field"
BQK,-81.46631622,31.25903511,"Georgia, GA: Brunswick Golden Isles"
CSG,-84.93885803,32.51633453,"Georgia, GA: Columbus"
SAV,-81.20214081,32.12758255,"Georgia, GA: Savannah/Hilton Head Intl"
VLD,-83.27622223,30.78137207,"Georgia, GA: Valdosta Rgnl"
GUM,144.7971344,13.48395252,"Guam, GU: Guam Intl"
ITO,-155.04847717,19.72026253,"Hawaii, HI: Hilo Intl"
HNL,-157.92025757,21.31782722,"Hawaii, HI: Daniel K Inouye Intl"
OGG,-156.43045044,20.89864922,"Hawaii, HI: Kahului"
KOA,-156.04562378,19.73876572,"Hawaii, HI: Kona Intl At Keahole"
LIH,-159.33895874,21.97598267,"Hawaii, HI: Lihue"
CID,-91.71080017,41.88468933,"Iowa, IA: The Eastern Iowa"
DSM,-93.66308594,41.53397369,"Iowa, IA: Des Moines Intl"
DBQ,-90.70947266,42.40200043,"Iowa, IA: Dubuque Rgnl"
SUX,-96.38436127,42.40261078,"Iowa, IA: Sioux Gateway/Col Bud Day Field"
ALO,-92.40032959,42.55708313,"Iowa, IA: Waterloo Rgnl"
BOI,-116.22286224,43.56436157,"Idaho, ID: Boise Air Terminal/Gowen Fld"
IDA,-112.07074738,43.51372147,"Idaho, ID: Idaho Falls Rgnl"
LWS,-117.01538849,46.37450027,"Idaho, ID: Lewiston-Nez Perce County"
PIH,-112.59591675,42.909805299999995,"Idaho, ID: Pocatello Rgnl"
TWF,-114.48774719,42.48180389,"Idaho, ID: Joslin Field - Magic Valley Rgnl"
BMI,-88.91591644,40.47711182,"Illinois, IL: Central Il Rgnl Arpt At Bloomington-Normal"
CMI,-88.27780914,40.03883362,"Illinois, IL: University Of Illinois-Willard"
MDW,-87.75241852,41.7859726,"Illinois, IL: Chicago Midway Intl"
ORD,-87.90800476,41.97732162,"Illinois, IL: Chicago O'Hare Intl"
CIU,-84.47238922,46.2507515,"Michigan, MI: Chippewa County Intl"
MLI,-90.50753021,41.44827652,"Illinois, IL: Quad City Intl"
PIA,-89.69325256,40.66419601,"Illinois, IL: General Downing - Peoria Intl"
UIN,-91.19446564,39.94301605,"Illinois, IL: Quincy Rgnl-Baldwin Field"
RFD,-89.09722137,42.19536209,"Illinois, IL: Chicago/Rockford Intl"
SPI,-89.67808533,39.84422302,"Illinois, IL: Abraham Lincoln Capital"
EVV,-87.52850342,38.04080582,"Indiana, IN: Evansville Rgnl"
FWA,-85.19516754,40.97847366,"Indiana, IN: Fort Wayne Intl"
IND,-86.29463959,39.71730423,"Indiana, IN: Indianapolis Intl"
SBN,-86.31733704,41.70822144,"Indiana, IN: South Bend Intl"
GCK,-100.72441864,37.92752838,"Kansas, KS: Garden City Rgnl"
HYS,-99.27317047,38.84222412,"Kansas, KS: Hays Rgnl"
MHK,-96.67179871,39.14123535,"Kansas, KS: Manhattan Rgnl"
FOE,-95.66361237,38.95094299,"Kansas, KS: Topeka Rgnl"
ICT,-97.43305206,37.64994431,"Kansas, KS: Wichita Dwight D Eisenhower National"
CVG,-84.66782379,39.04883575,"Kentucky, KY: Cincinnati/Northern Kentucky Intl"
LEX,-84.60864258,38.03675079,"Kentucky, KY: Blue Grass"
SDF,-85.73649597,38.17408752,"Kentucky, KY: Louisville Intl-Standiford Field"
PAH,-88.77295685,37.06028748,"Kentucky, KY: Barkley Rgnl"
AEX,-92.54855347,31.327371600000003,"Louisiana, LA: Alexandria Intl"
BTR,-91.14988708,30.53291702,"Louisiana, LA: Baton Rouge Metropolitan, Ryan Field"
LFT,-91.98774719,30.20502853,"Louisiana, LA: Lafayette Rgnl/Paul Fournet Field"
LCH,-93.22341919,30.12608337,"Louisiana, LA: Lake Charles Rgnl"
MLU,-92.03766632,32.51086044,"Louisiana, LA: Monroe Rgnl"
MSY,-90.25902557,29.9932785,"Louisiana, LA: Louis Armstrong New Orleans Intl"
SHV,-93.8256073,32.446609499999994,"Louisiana, LA: Shreveport Rgnl"
BOS,-71.0063858,42.36294556,"Massachusetts, MA: General Edward Lawrence Logan Intl"
HYA,-70.28035736,41.66933441,"Massachusetts, MA: Barnstable Muni-Boardman/Polando Field"
ACK,-70.05991364,41.25297546,"Massachusetts, MA: Nantucket Memorial"
MVY,-70.61388397,41.39342117,"Massachusetts, MA: Martha'S Vineyard"
